optimizer,hidden_size,loss_fn,hidden_layers,metrics
Adagrad,0.4,kl_divergence,4,accuracy,0.0749523788690567
Adagrad,0.8,kl_divergence,2,accuracy,0.07514286041259766
Adagrad,0.8,kl_divergence,3,accuracy,0.0793333351612091
Adagrad,0.4,kl_divergence,2,accuracy,0.08133333176374435
Adam,0.6,kl_divergence,2,accuracy,0.08609523624181747
Adagrad,0.4,kl_divergence,4,sparse_categorical_accuracy,0.08761905133724213
Adagrad,0.6,kl_divergence,3,sparse_categorical_accuracy,0.08990476280450821
Adagrad,0.6,kl_divergence,2,accuracy,0.09142857044935226
Adagrad,0.6,kl_divergence,3,accuracy,0.09333333373069763
RMSprop,0.8,kl_divergence,4,accuracy,0.09419047832489014
Adagrad,0.8,kl_divergence,2,sparse_categorical_accuracy,0.09495238214731216
RMSprop,0.4,kl_divergence,4,accuracy,0.09552381187677383
Adagrad,0.4,kl_divergence,2,sparse_categorical_accuracy,0.09561904519796371
RMSprop,0.4,kl_divergence,3,accuracy,0.09580952674150467
RMSprop,0.6,kl_divergence,2,accuracy,0.0960952416062355
RMSprop,0.4,kl_divergence,2,sparse_categorical_accuracy,0.09628571569919586
RMSprop,0.6,kl_divergence,4,sparse_categorical_accuracy,0.0965714305639267
Adagrad,0.8,kl_divergence,4,accuracy,0.0965714305639267
Adagrad,0.8,kl_divergence,4,sparse_categorical_accuracy,0.09666666388511658
RMSprop,0.6,kl_divergence,2,sparse_categorical_accuracy,0.09676190465688705
RMSprop,0.8,kl_divergence,2,sparse_categorical_accuracy,0.09676190465688705
RMSprop,0.8,kl_divergence,3,accuracy,0.09704761952161789
RMSprop,0.8,kl_divergence,2,accuracy,0.0974285677075386
Adam,0.4,kl_divergence,3,accuracy,0.09752380847930908
Adam,0.4,kl_divergence,3,sparse_categorical_accuracy,0.09819047898054123
RMSprop,0.4,kl_divergence,2,accuracy,0.09847619384527206
Adam,0.8,kl_divergence,2,accuracy,0.09866666793823242
Adagrad,0.8,kl_divergence,3,sparse_categorical_accuracy,0.09885714203119278
Adam,0.4,kl_divergence,2,accuracy,0.09895238280296326
RMSprop,0.6,kl_divergence,4,accuracy,0.09904761612415314
Adam,0.6,kl_divergence,3,accuracy,0.09923809766769409
Adam,0.6,kl_divergence,4,sparse_categorical_accuracy,0.09990476071834564
Adagrad,0.4,kl_divergence,3,sparse_categorical_accuracy,0.10000000149011612
RMSprop,0.8,kl_divergence,3,sparse_categorical_accuracy,0.10038094967603683
Adam,0.6,kl_divergence,2,sparse_categorical_accuracy,0.10047619044780731
RMSprop,0.4,kl_divergence,3,sparse_categorical_accuracy,0.10123809427022934
Adagrad,0.4,kl_divergence,3,accuracy,0.1014285683631897
RMSprop,0.6,kl_divergence,3,sparse_categorical_accuracy,0.10152380913496017
Adam,0.4,kl_divergence,4,accuracy,0.10161904990673065
Adam,0.8,kl_divergence,3,accuracy,0.10199999809265137
Adagrad,0.6,kl_divergence,4,accuracy,0.10219047963619232
RMSprop,0.8,kl_divergence,4,sparse_categorical_accuracy,0.10266666859388351
Adam,0.4,kl_divergence,2,sparse_categorical_accuracy,0.10333333164453506
Adam,0.6,kl_divergence,3,sparse_categorical_accuracy,0.10342857241630554
Adam,0.8,kl_divergence,4,accuracy,0.10476190596818924
Adam,0.8,kl_divergence,4,sparse_categorical_accuracy,0.10485713928937912
Adam,0.6,kl_divergence,4,accuracy,0.10552380979061127
RMSprop,0.4,kl_divergence,4,sparse_categorical_accuracy,0.10638095438480377
Adam,0.8,kl_divergence,3,sparse_categorical_accuracy,0.10657142847776413
Adagrad,0.6,kl_divergence,2,sparse_categorical_accuracy,0.10685714334249496
Adam,0.4,kl_divergence,4,sparse_categorical_accuracy,0.10723809152841568
RMSprop,0.6,kl_divergence,3,accuracy,0.10771428793668747
Adam,0.8,kl_divergence,2,sparse_categorical_accuracy,0.11247619241476059
Adagrad,0.6,kl_divergence,4,sparse_categorical_accuracy,0.11266666650772095
Adagrad,0.4,sparse_categorical_crossentropy,4,accuracy,0.347428560256958
Adagrad,0.4,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.402095228433609
Adagrad,0.6,sparse_categorical_crossentropy,4,accuracy,0.492000013589859
Adagrad,0.6,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.5019047856330872
Adagrad,0.8,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.5492380857467651
Adagrad,0.8,sparse_categorical_crossentropy,4,accuracy,0.5653333067893982
Adagrad,0.4,sparse_categorical_crossentropy,3,accuracy,0.8238095045089722
Adagrad,0.4,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.8240952491760254
Adagrad,0.6,sparse_categorical_crossentropy,3,accuracy,0.8303809762001038
Adagrad,0.6,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.850761890411377
Adagrad,0.8,sparse_categorical_crossentropy,3,accuracy,0.8599047660827637
Adagrad,0.8,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.8700952529907227
Adagrad,0.4,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.883809506893158
Adagrad,0.4,sparse_categorical_crossentropy,2,accuracy,0.8939999938011169
Adagrad,0.6,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.8965714573860168
Adagrad,0.6,sparse_categorical_crossentropy,2,accuracy,0.9007619023323059
Adagrad,0.8,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9027618765830994
Adagrad,0.8,sparse_categorical_crossentropy,2,accuracy,0.9045714139938354
Adam,0.4,sparse_categorical_crossentropy,4,accuracy,0.9360952377319336
Adam,0.4,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.9434285759925842
Adam,0.4,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9437142610549927
Adam,0.8,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.9443809390068054
Adam,0.6,sparse_categorical_crossentropy,3,accuracy,0.9456190466880798
Adam,0.6,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.9459999799728394
Adam,0.8,sparse_categorical_crossentropy,3,accuracy,0.9468571543693542
Adam,0.6,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.9471428394317627
Adam,0.4,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.9474285840988159
Adam,0.4,sparse_categorical_crossentropy,2,accuracy,0.9476190209388733
Adam,0.4,sparse_categorical_crossentropy,3,accuracy,0.9480000138282776
